dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
EMOPain,1058,30,200,3,2,0.083,rocket,0.0,0.0,0.7886792452830189
Epilepsy,220,3,206,4,epilepsy,0.245,lstm,0.6625,0.1756713313738661,0.7636363636363637
Epilepsy,220,3,206,4,epilepsy,0.245,catch22,0.5652173913043478,0.15621527969627685,0.9818181818181818
Epilepsy,220,3,206,4,epilepsy,0.245,rocket,0.4984444444444444,0.21087074035010753,0.9818181818181818
Epilepsy,220,3,206,4,running,0.264,lstm,0.48840909090909096,0.16211588422284653,0.7636363636363637
Epilepsy,220,3,206,4,running,0.264,catch22,0.4034545454545454,0.1907803895184025,0.9818181818181818
Epilepsy,220,3,206,4,running,0.264,rocket,0.31672727272727275,0.07241432669537018,0.9818181818181818
Epilepsy,220,3,206,4,sawing,0.214,lstm,0.3822857142857143,0.15061940141174593,0.7636363636363637
Epilepsy,220,3,206,4,sawing,0.214,catch22,0.3714,0.15277447430771937,0.9818181818181818
Epilepsy,220,3,206,4,sawing,0.214,rocket,0.4881632653061224,0.15810966833812168,0.9818181818181818
Epilepsy,220,3,206,4,walking,0.277,lstm,0.4556666666666667,0.23842096291130854,0.7636363636363637
Epilepsy,220,3,206,4,walking,0.277,catch22,0.4188,0.17274999276410985,0.9818181818181818
Epilepsy,220,3,206,4,walking,0.277,rocket,0.5419607843137255,0.19525769405987806,0.9818181818181818
EyesOpenShut,78,14,128,2,0,0.551,lstm,0.0,0.0,0.55
EyesOpenShut,78,14,128,2,0,0.551,catch22,0.11142857142857143,0.1845015347538622,0.65
EyesOpenShut,78,14,128,2,0,0.551,rocket,0.43,0.10630145812734651,0.5
EyesOpenShut,78,14,128,2,1,0.449,lstm,0.0,0.0,0.55
EyesOpenShut,78,14,128,2,1,0.449,catch22,0.8285714285714286,0.16322014681567534,0.65
EyesOpenShut,78,14,128,2,1,0.449,rocket,0.61,0.10630145812734648,0.5
HandMovementDirection,187,10,400,4,backward,0.225,lstm,0.04,0.0,0.2553191489361702
HandMovementDirection,187,10,400,4,backward,0.225,catch22,0.0,0.0,0.3191489361702128
HandMovementDirection,187,10,400,4,backward,0.225,rocket,0.58,0.0,0.3829787234042553
HandMovementDirection,187,10,400,4,forward,0.31,lstm,0.33166666666666667,0.38727323113733997,0.2553191489361702
HandMovementDirection,187,10,400,4,forward,0.31,catch22,0.2,0.0,0.3191489361702128
HandMovementDirection,187,10,400,4,forward,0.31,rocket,0.4,0.17557049866079438,0.3829787234042553
HandMovementDirection,187,10,400,4,left,0.241,lstm,0.25857142857142856,0.22535233184812567,0.2553191489361702
HandMovementDirection,187,10,400,4,left,0.241,catch22,0.12666666666666668,0.1649915822768611,0.3191489361702128
HandMovementDirection,187,10,400,4,left,0.241,rocket,0.3383333333333334,0.2311144497622096,0.3829787234042553
HandMovementDirection,187,10,400,4,right,0.225,lstm,0.386,0.35997777709186435,0.2553191489361702
HandMovementDirection,187,10,400,4,right,0.225,catch22,0.0,0.0,0.3191489361702128
HandMovementDirection,187,10,400,4,right,0.225,rocket,0.4888888888888888,0.1644144116719459,0.3829787234042553
