dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
AtrialFibrillation,24,2,640,3,s,0.292,catch22,0.0,0.0,0.3333333333333333
AtrialFibrillation,24,2,640,3,s,0.292,rocket,0.0,0.0,0.0
EMOPain,1058,30,200,3,0,0.773,lstm,0.30177215189873424,0.16542434496780561,0.8150943396226416
EMOPain,1058,30,200,3,0,0.773,catch22,0.17561797752808989,0.13222468036397075,0.9245283018867925
EMOPain,1058,30,200,3,0,0.773,rocket,0.556078431372549,0.3531195899817963,0.8075471698113208
EMOPain,1058,30,200,3,1,0.144,lstm,0.6511160714285715,0.2672413718216881,0.8150943396226416
EMOPain,1058,30,200,3,1,0.144,catch22,0.7247350993377484,0.21414954859954172,0.9245283018867925
EMOPain,1058,30,200,3,1,0.144,rocket,0.3038032786885246,0.30711555040525973,0.8075471698113208
EMOPain,1058,30,200,3,2,0.083,lstm,0.7553968253968255,0.13983919786584575,0.8150943396226416
EMOPain,1058,30,200,3,2,0.083,catch22,0.8538461538461538,0.19653149919927543,0.9245283018867925
EMOPain,1058,30,200,3,2,0.083,rocket,0.0,0.0,0.8075471698113208
Epilepsy,220,3,206,4,epilepsy,0.245,lstm,0.5507142857142857,0.23199335845525176,0.7636363636363637
Epilepsy,220,3,206,4,epilepsy,0.245,catch22,0.567391304347826,0.1588468606607538,0.9636363636363636
Epilepsy,220,3,206,4,epilepsy,0.245,rocket,0.5377551020408163,0.2178959244743706,0.9818181818181818
Epilepsy,220,3,206,4,running,0.264,lstm,0.4984090909090908,0.2136473643202549,0.7636363636363637
Epilepsy,220,3,206,4,running,0.264,catch22,0.377719298245614,0.17224032113320314,0.9636363636363636
Epilepsy,220,3,206,4,running,0.264,rocket,0.29775862068965514,0.07604542887820356,0.9818181818181818
Epilepsy,220,3,206,4,sawing,0.214,lstm,0.6316666666666667,0.12215654801205796,0.7636363636363637
Epilepsy,220,3,206,4,sawing,0.214,catch22,0.44851063829787247,0.16129764641150365,0.9636363636363636
Epilepsy,220,3,206,4,sawing,0.214,rocket,0.45627450980392165,0.1565555816142102,0.9818181818181818
Epilepsy,220,3,206,4,walking,0.277,lstm,0.35379310344827586,0.14921435155861607,0.7636363636363637
Epilepsy,220,3,206,4,walking,0.277,catch22,0.4236,0.16549030183065108,0.9636363636363636
Epilepsy,220,3,206,4,walking,0.277,rocket,0.560392156862745,0.20645429427541512,0.9818181818181818
EyesOpenShut,78,14,128,2,0,0.551,lstm,0.0,0.0,0.55
EyesOpenShut,78,14,128,2,0,0.551,catch22,0.1975,0.16161296358893987,0.6
EyesOpenShut,78,14,128,2,0,0.551,rocket,0.4775,0.27833208582554764,0.5
EyesOpenShut,78,14,128,2,1,0.449,lstm,0.0,0.0,0.55
EyesOpenShut,78,14,128,2,1,0.449,catch22,0.7525,0.2639483851058763,0.6
EyesOpenShut,78,14,128,2,1,0.449,rocket,0.3075,0.18471261462065874,0.5
HandMovementDirection,187,10,400,4,backward,0.225,lstm,0.54,0.06,0.2978723404255319
HandMovementDirection,187,10,400,4,backward,0.225,catch22,0.14500000000000002,0.19956202043475105,0.3404255319148936
HandMovementDirection,187,10,400,4,backward,0.225,rocket,0.0,0.0,0.3404255319148936
HandMovementDirection,187,10,400,4,forward,0.31,lstm,0.2316666666666667,0.35063830683800395,0.2978723404255319
HandMovementDirection,187,10,400,4,forward,0.31,catch22,0.0,0.0,0.3404255319148936
HandMovementDirection,187,10,400,4,forward,0.31,rocket,0.19,0.0,0.3404255319148936
HandMovementDirection,187,10,400,4,left,0.241,lstm,0.18666666666666668,0.13299958228840003,0.2978723404255319
HandMovementDirection,187,10,400,4,left,0.241,catch22,0.02,0.01,0.3404255319148936
HandMovementDirection,187,10,400,4,left,0.241,rocket,0.0,0.0,0.3404255319148936
HandMovementDirection,187,10,400,4,right,0.225,lstm,0.535,0.25144581921360315,0.2978723404255319
HandMovementDirection,187,10,400,4,right,0.225,catch22,0.02,0.00816496580927726,0.3404255319148936
HandMovementDirection,187,10,400,4,right,0.225,rocket,0.8300000000000001,0.0,0.3404255319148936
Heartbeat,327,61,405,2,abnormal,0.734,lstm,0.0,0.0,0.6219512195121951
Heartbeat,327,61,405,2,abnormal,0.734,catch22,0.023000000000000003,0.017916472867168916,0.7195121951219512
Heartbeat,327,61,405,2,abnormal,0.734,rocket,0.5224,0.21111665021973045,0.6707317073170732
Heartbeat,327,61,405,2,normal,0.266,lstm,0.0,0.0,0.6219512195121951
Heartbeat,327,61,405,2,normal,0.266,catch22,0.6843333333333333,0.33643903195411534,0.7195121951219512
Heartbeat,327,61,405,2,normal,0.266,rocket,0.5176000000000001,0.21111665021973045,0.6707317073170732
